DateTime,p_sam,T_sam,RH_sam,nbin,Conc_001,Conc_002,Conc_003,Conc_004,Conc_005,Conc_006,Conc_007,Conc_008,Conc_009,Conc_010,Conc_011,Conc_012,Conc_013,Conc_014,Conc_015,Conc_016,Conc_017,Conc_018,Conc_019,Conc_020,Conc_021,Conc_022,Conc_023,Conc_024,Conc_025,Conc_026,Conc_027,Conc_028,Conc_029,Conc_030,Conc_031,Conc_032,Conc_033,Conc_034,Conc_035,Conc_036,Conc_037,Conc_038,Conc_039,Conc_040,Conc_041,Conc_042,Conc_043,Conc_044,Conc_045,Conc_046,Conc_047,Conc_048,Conc_049,Conc_050,Conc_051,Conc_052,Conc_053,Conc_054,Conc_055,Conc_056,Conc_057,Conc_058,Conc_059,Conc_060,Conc_061,Conc_062,Conc_063,Conc_064,Conc_065,Conc_066,Conc_067,Conc_068,Conc_069,Conc_070,Conc_071,flag
2016-01-01 21:50:00,765.551000,19.610000,10.200000,71.000000,46.245682,41.989944,209.949720,150.369394,205.693983,465.293975,348.970481,390.109278,424.155178,419.899441,632.686320,672.406537,727.731125,648.290691,719.219650,869.589045,666.732220,688.010908,741.916917,713.545333,665.313641,705.033858,746.172655,605.733315,720.638229,651.127849,587.291786,510.688509,451.108183,390.109278,261.018571,262.437150,234.065567,195.763928,171.648082,158.880870,128.523275,133.488302,90.079779,89.512347,80.859014,19.860109,60.998905,42.557376,53.906009,38.301638,66.673222,58.161747,69.510380,87.951910,89.370489,102.137702,59.580326,51.068851,48.231693,28.371584,22.697267,12.767213,11.348634,12.767213,0.000000,9.930054,5.674317,2.837158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 21:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999
2016-01-01 22:00:00,765.524000,19.310000,10.100000,71.000000,0.000000,41.948560,140.867798,120.318673,436.491769,354.295267,330.203189,510.185184,559.786521,473.338476,691.584361,649.068929,697.253085,619.308126,727.013887,636.314299,637.731480,802.124484,666.075101,632.062756,657.572015,677.412550,691.584361,575.375513,525.774176,435.074588,291.939300,273.515946,246.589506,240.920781,198.405349,213.994341,185.650720,175.730452,216.828703,136.899691,122.869599,147.386831,100.336419,85.881173,74.685442,87.298354,87.156636,47.759002,84.463992,82.054784,60.513632,71.142490,53.286008,96.935185,117.484310,77.236368,85.314300,53.427726,43.507459,33.020319,20.407407,21.966307,4.690869,12.060211,2.423380,2.465895,0.000000,2.579270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:05:00,765.653000,19.600000,10.000000,71.000000,141.834547,128.927603,175.874838,150.344619,256.720529,221.261893,368.769821,289.342475,500.675949,473.727385,656.693950,638.255459,527.624513,584.358332,693.570933,558.828113,652.438914,709.172733,770.161588,540.389622,668.040714,758.814824,707.754387,599.960132,585.776677,446.778821,295.015857,251.047147,239.700384,222.680238,202.823401,234.027002,158.854692,164.528074,143.252892,110.914615,127.651092,107.510586,93.752635,80.420188,69.924431,47.230904,47.656408,40.706515,29.785255,39.288169,36.167809,100.560693,91.908786,77.016159,88.079253,78.292670,99.567852,39.004500,21.842520,35.458637,32.054608,11.715534,9.531282,7.304479,0.000000,4.950026,5.049310,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:10:00,765.734000,19.600000,10.000000,71.000000,0.000000,41.978640,106.364796,211.311395,205.638606,199.965817,330.439967,475.096090,636.770580,500.623641,449.568539,594.224662,907.646261,702.007655,876.445921,945.937588,772.917519,838.154594,901.973472,920.410037,852.336567,724.698812,842.409186,842.409186,867.936737,665.134526,723.280614,531.823981,459.495920,340.367348,228.329762,234.002552,205.638606,214.147790,156.001701,168.765477,150.328912,130.332330,95.019218,105.230238,91.757364,58.004269,40.134983,64.102517,39.425884,61.549762,50.346004,55.876973,91.473725,53.324218,90.055527,88.779150,104.237500,58.429728,44.389575,21.556599,20.422041,21.131140,14.181973,7.303716,4.850235,4.949509,5.048782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:15:00,765.670000,19.600000,10.000000,71.000000,46.236854,0.000000,69.355282,241.112431,307.772926,199.981487,564.486750,321.956011,575.833217,514.845955,680.788040,913.390620,775.814704,902.044153,961.613106,1045.293303,1137.483350,1056.639770,1293.497276,955.939873,991.397583,943.175097,927.573704,950.266639,782.906246,669.441573,572.996600,382.943273,327.629244,351.740487,275.151833,253.877207,158.850543,197.144870,212.746263,139.561548,108.358763,165.942085,94.033848,84.814843,49.215302,90.913570,34.181233,66.802326,68.929789,85.098505,96.303141,88.076953,109.635241,107.791440,127.505927,85.240336,104.954823,87.509629,75.595839,43.116576,25.955044,17.445194,14.183084,9.687046,7.431936,0.000000,2.524589,2.581321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:20:00,765.718000,19.600000,10.000000,71.000000,141.821580,41.979188,106.366185,120.406522,128.064887,199.968428,426.882957,510.557689,394.263994,649.542838,789.946203,1002.678573,826.819814,1048.061479,1145.918370,1269.303145,1303.340324,1090.607953,1144.500154,1257.957418,1094.862601,1046.643263,947.368157,886.384878,747.399729,679.325370,551.685948,486.448021,446.737978,380.081836,293.570671,289.316024,187.204486,175.858760,141.821580,170.185897,87.787558,85.376591,89.347596,59.281421,75.874546,60.274172,44.531976,60.841458,15.174909,63.110603,68.499823,72.329006,71.052612,51.764877,69.492574,102.395181,55.877703,64.245176,64.954284,52.332163,34.604466,22.975096,9.856600,8.140559,7.431451,2.467695,0.000000,0.000000,2.637881,2.694610,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:25:00,765.805000,19.320000,10.500000,71.000000,92.510043,84.009886,106.251963,150.169441,280.505183,376.840296,388.173839,406.590846,484.508952,702.679650,837.265470,978.934754,1045.519317,1148.937895,1134.770966,1082.353331,1063.936324,1146.104509,1182.938523,1173.021673,1045.519317,970.434597,1069.603096,1012.935382,893.933183,1012.935382,936.433969,714.013192,623.344851,440.591474,357.006596,300.338883,269.171640,179.919991,151.586134,125.802324,118.010514,110.077034,109.652026,62.901162,86.134925,89.676657,110.360372,67.859587,66.867902,50.292596,48.309226,45.475840,27.483841,43.634140,90.951680,76.926421,76.784752,66.584564,62.192816,45.334171,17.991999,23.658770,14.591936,7.565140,2.635049,0.789098,2.521713,0.000000,2.635049,2.691716,2.748384,2.819219,0.000000,0.000000,0.000000,0
2016-01-01 22:30:00,765.872000,19.320000,10.500000,71.000000,0.000000,341.396227,69.270853,449.056448,256.401316,242.235497,386.726846,406.558992,515.635795,607.713616,874.031004,957.609334,1005.773117,1110.600174,1243.758869,1273.507088,1219.676977,1270.673924,1163.013703,1284.839743,1222.510141,1058.186646,1017.105772,1155.930794,978.858062,927.861115,756.454711,572.299069,461.805685,405.142410,284.732953,254.984734,182.739059,136.133516,174.239568,123.950912,152.990840,109.218461,94.202693,70.262460,79.470242,61.479653,48.588758,65.162765,41.647507,52.555187,69.412511,47.738809,68.279245,70.829093,120.551116,75.220496,62.896234,71.254067,37.822736,37.964394,6.077136,12.593413,18.982197,0.000000,9.859410,0.000000,5.043031,2.578179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
2016-01-01 22:35:00,765.835000,19.670000,10.300000,71.000000,141.833264,171.618250,209.913231,241.116549,256.718208,310.614849,310.614849,458.121443,485.069763,527.619743,740.369639,914.824554,1157.359436,994.251182,977.231190,1090.697802,1164.451099,1102.044463,1165.869432,1018.362837,1085.024471,1043.892824,1045.311157,994.251182,1029.709498,755.971298,557.404728,458.121443,306.359851,293.594857,248.208212,231.188221,160.271589,154.598258,161.689921,107.225948,124.955106,132.614102,64.108635,103.254616,78.008295,79.426628,77.015462,62.832136,72.193131,64.534135,39.996980,64.250469,92.900788,78.291962,80.561294,74.887963,106.516781,36.592982,34.890983,33.898150,16.168992,11.176461,11.885628,7.304413,2.425349,0.000000,2.524632,5.148547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
